word,jaccard,length,n_sentences,sep_max,peak_depth,combined,context,target
bottom,0.11382113821138211,21.2,10,0.04123621185620621,0.37274029982363316,0.6499999999999999,0.45,0.6
branch,0.08917197452229299,24.5,10,0.20380780431959358,0.6475418871252204,0.95,0.9,0.95
care,0.1125,24.2,10,0.1612421638435787,0.5381393298059964,0.75,0.5,0.9
caught,0.1125,24.1,10,0.09083194202846949,0.5616181657848325,0.55,0.30000000000000004,0.7
chance,0.16923076923076924,19.4,10,0.07210934162139887,0.7658730158730158,0.35,0.4,0.45
characteristic,0.11242603550295859,26.3,10,0.04453550444708927,0.46577380952380953,0.45,0.5,0.55
characterized,0.10365853658536585,23.7,10,0.01708354552586869,0.43865740740740744,0.35,0.15000000000000002,0.5
chemical,0.12886597938144329,32.1,10,0.004340132077534956,0.2875330687830688,0.15,0.1,0.1
chose,0.0821917808219178,21.2,10,0.03471593393219837,0.4930555555555556,0.45,0.45,0.35
circles,0.11764705882352941,16.9,10,0.22990661528375414,0.34755291005291,0.8500000000000001,0.6499999999999999,0.95
class,0.10666666666666667,22.9,10,0.076496680577596,0.4652226631393298,0.5,0.35,0.7
classification,0.11320754716981132,25.8,10,0.038636770513322566,0.2560626102292769,0.5,0.44999999999999996,0.4
close,0.12025316455696203,25.4,10,0.22516595986154345,0.49702380952380953,0.85,0.25,1.0
communicate,0.11688311688311688,23.9,10,0.009422530730565344,0.23980379188712522,0.1,0.15000000000000002,0.35
communications,0.16,29.3,10,0.008810162544250455,0.5408950617283951,0.05,0.1,0.2
compared,0.0966183574879227,32.3,10,-1.3245476616753475e-08,0.0,0.0,0.1,0.0
complex,0.09411764705882353,29.2,10,0.10279369685384958,0.45199514991181655,0.6499999999999999,0.6,0.6499999999999999
components,0.1,34.0,10,0.004231390025880571,0.14836860670194005,0.4,0.6,0.35
concerned,0.10270270270270271,27.7,10,0.14495757884449426,0.2034832451499118,0.4,0.15000000000000002,0.7
cool,0.09923664122137404,18.6,10,0.13499835133552548,0.32192460317460314,0.8,0.7,0.9
couple,0.14393939393939395,20.4,10,-1.9868214925130207e-08,0.0,0.0,0.05,0.1
credit,0.112,19.9,10,0.1342554489771525,0.6958774250440917,0.75,0.8,0.75
crisis,0.11842105263157894,24.9,10,0.01707461145189069,0.6469907407407407,0.1,0.1,0.15000000000000002
critical,0.07975460122699386,24.8,10,0.12925673524538672,0.6164021164021164,0.95,0.6499999999999999,0.75
cup,0.15789473684210525,21.2,10,0.03469763199488316,0.369157848324515,0.4,0.25,0.35
curve,0.13636363636363635,31.7,10,0.14698590503798586,0.45023148148148145,1.0,0.8500000000000001,1.0
dealing,0.10989010989010989,28.9,10,0.05089077684614389,0.26278659611992944,0.6499999999999999,0.6499999999999999,0.6499999999999999
debate,0.11864406779661017,19.0,10,0.07712881432639224,0.6603284832451499,0.75,0.75,0.8500000000000001
decision,0.10967741935483871,25.5,10,0.00015781985388861383,0.07936507936507936,0.15000000000000002,0.15000000000000002,0.15000000000000002
defend,0.10429447852760736,25.7,10,0.06898126668400231,0.4392085537918871,0.8,0.7,0.8500000000000001
destruction,0.10638297872340426,21.6,10,0.020987580219904534,0.902391975308642,0.3,0.25,0.25
detail,0.1,27.4,10,0.03809192776679989,0.6017967372134039,0.3,0.4,0.1
disaster,0.08536585365853659,23.7,10,0.012565453847249311,0.2953593474426808,0.25,0.30000000000000004,0.4
discrimination,0.1111111111111111,27.3,10,0.15458055999543927,0.49090608465608465,0.75,0.4,0.8500000000000001
distinction,0.11801242236024845,27.0,10,0.15967588292227847,0.6439594356261024,0.8500000000000001,0.7,0.95
drinking,0.12631578947368421,13.9,10,0.030485239293840134,0.5891203703703703,0.6,0.6,0.55
drove,0.15126050420168066,18.1,10,-6.622738308376741e-09,0.0,0.15000000000000002,0.0,0.25
earn,0.1568627450980392,26.5,10,0.02583899431758452,0.5153218694885361,0.6499999999999999,0.7,0.55
eat,0.15976331360946747,26.9,10,0.022626029120551165,0.4625771604938272,0.2,0.35,0.4
emerged,0.1111111111111111,24.7,10,0.021901521417829688,0.8581349206349206,0.25,0.4,0.4
evil,0.13989637305699482,31.2,10,0.06316879391670221,1.0,0.1,0.05,0.25
examined,0.08759124087591241,19.9,10,0.0433492263158162,0.19146825396825395,0.5,0.4,0.7
extended,0.0718954248366013,23.3,10,0.06903272536065838,0.24316578483245146,0.55,0.45,0.6
factor,0.13768115942028986,22.5,10,0.004196412033504855,0.6226300705467372,0.25,0.15000000000000002,0.35
faith,0.1111111111111111,26.9,10,0.00027299589580958905,0.027777777777777776,0.30000000000000004,0.45,0.2
features,0.09036144578313253,23.9,10,0.40022143059306675,0.9197530864197532,0.95,0.55,0.95
